"ID","POSTER_URL","RATING","RELEASE_YEAR","TITLE","VOTES"
"tt0076759","https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_SX300.jpg","8.6","1977","Star Wars: Episode IV - A New Hope","1420107"
"tt0080684","https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg","8.7","1980","Star Wars: Episode V - The Empire Strikes Back","1349018"
"tt0086190","https://m.media-amazon.com/images/M/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","8.3","1983","Star Wars: Episode VI - Return of the Jedi","1098800"
"tt2488496","https://m.media-amazon.com/images/M/MV5BOTAzODEzNDAzMl5BMl5BanBnXkFtZTgwMDU1MTgzNzE@._V1_SX300.jpg","7.8","2015","Star Wars: Episode VII - The Force Awakens","960010"
"tt0120915","https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","6.5","1999","Star Wars: Episode I - The Phantom Menace","839467"
"tt0121766","https://m.media-amazon.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1_SX300.jpg","7.6","2005","Star Wars: Episode III - Revenge of the Sith","828009"
"tt0121765","https://m.media-amazon.com/images/M/MV5BMDAzM2M0Y2UtZjRmZi00MzVlLTg4MjEtOTE3NzU5ZDVlMTU5XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg","6.6","2002","Star Wars: Episode II - Attack of the Clones","743278"
"tt3748528","https://m.media-amazon.com/images/M/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_SX300.jpg","7.8","2016","Rogue One: A Star Wars Story","671767"
"tt2527336","https://m.media-amazon.com/images/M/MV5BMjQ1MzcxNjg4N15BMl5BanBnXkFtZTgwNzgwMjY4MzI@._V1_SX300.jpg","6.9","2017","Star Wars: Episode VIII - The Last Jedi","659258"
"tt0796366","https://m.media-amazon.com/images/M/MV5BMjE5NDQ5OTE4Ml5BMl5BanBnXkFtZTcwOTE3NDIzMw@@._V1_SX300.jpg","7.9","2009","Star Trek","615062"
